tourney,id,winner_name,wins
Monte Carlo Masters 1990,3,Albert Portas,0
Monte Carlo Masters 1990,3,Andrei Pavel,0
Monte Carlo Masters 1990,3,Tommy Haas,0
Monte Carlo Masters 1990,3,Sebastien Grosjean,0
Monte Carlo Masters 1990,3,Lleyton Hewitt,0
Monte Carlo Masters 1990,3,Roger Federer,0
Monte Carlo Masters 1990,3,Guillermo Canas,0
Monte Carlo Masters 1990,3,Felix Mantilla,0
Monte Carlo Masters 1990,3,Guillermo Coria,0
Monte Carlo Masters 1990,3,Andy Roddick,0
Monte Carlo Masters 1990,3,Tim Henman,0
Monte Carlo Masters 1990,3,Rafael Nadal,0
Monte Carlo Masters 1990,3,Tomas Berdych,0
Monte Carlo Masters 1990,3,Tommy Robredo,0
Monte Carlo Masters 1990,3,Nikolay Davydenko,0
Monte Carlo Masters 1990,3,Novak Djokovic,0
Monte Carlo Masters 1990,3,David Nalbandian,0
Monte Carlo Masters 1990,3,Andy Murray,0
Monte Carlo Masters 1990,3,Jo-Wilfried Tsonga,0
Monte Carlo Masters 1990,3,Ivan Ljubicic,0
Monte Carlo Masters 1990,3,Robin Soderling,0
Monte Carlo Masters 1990,3,David Ferrer,0
Monte Carlo Masters 1990,3,Stan Wawrinka,0
Monte Carlo Masters 1990,3,Marin Cilic,0
Monte Carlo Masters 1990,3,Alexander Zverev,0
Monte Carlo Masters 1990,3,Grigor Dimitrov,0
Monte Carlo Masters 1990,3,Jack Sock,0
Monte Carlo Masters 1990,3,Juan Martin del Potro,0
Monte Carlo Masters 1990,3,John Isner,0
Monte Carlo Masters 1990,3,Karen Khachanov,0
Monte Carlo Masters 1990,3,Dominic Thiem,0
Monte Carlo Masters 1990,3,Fabio Fognini,0
Monte Carlo Masters 1990,3,Daniil Medvedev,0
Monte Carlo Masters 1990,3,Hubert Hurkacz,0
Hamburg Masters 1990,4,Stefan Edberg,1
Hamburg Masters 1990,4,Andre Agassi,1
Hamburg Masters 1990,4,Andrei Chesnokov,1
Hamburg Masters 1990,4,Juan Aguilera,1
